mr_id,updated,prod_volume,prod_cost,supl_quality,delivery_delay,quality_sc,mainten_hours,downtime_perc,inv_turnover,stockout_rate,worker_prod,safety_incid,energy_cons,energy_eff,add_proc_time,add_mater_cost
27,2025-10-23 01:13:32,1349,1744.92,80.38,8,94.0,12,5.38,7.6,2.22,36.12,0,66.78,85.72,89.82,265.52
28,2025-10-23 01:13:32,2875,5096.17,81.2,8,91.19,13,5.9,12.14,2.74,57.64,0,50.2,59.93,98.76,193.64
29,2025-10-23 01:13:32,1899,5519.45,86.14,4,86.05,20,3.98,4.34,4.6,49.47,1,47.31,55.34,100.59,192.15
30,2025-10-23 01:13:32,2208,3191.37,69.77,2,82.54,4,5.07,5.9,3.8,44.49,0,48.35,69.13,75.93,266.13
31,2025-10-23 01:13:32,1898,6277.18,77.43,5,89.04,12,0.02,10.99,3.86,51.68,0,69.38,58.66,117.37,181.79
32,2025-10-23 01:13:32,4352,1676.96,63.31,1,80.13,5,3.68,11.72,1.58,59.45,1,38.76,70.75,113.8,223.41
33,2025-10-23 01:13:32,2486,4867.84,83.99,5,87.38,12,5.91,7.79,1.85,55.01,0,69.73,80.02,146.21,275.05
34,2025-10-23 01:13:32,1442,2577.97,86.47,4,87.53,5,3.04,5.52,0.16,41.22,0,53.16,66.09,137.66,200.88
35,2025-10-23 01:13:32,3322,3696.33,75.17,4,90.3,7,5.12,12.19,2.19,57.42,0,47.59,60.73,79.43,330.27
36,2025-10-23 01:13:32,1279,5094.8,95.74,1,98.8,8,5.89,11.19,3.96,43.62,1,87.51,75.69,124.61,311.2
37,2025-10-23 01:13:32,2708,3279.17,67.74,6,86.96,14,4.31,9.36,3.52,52.17,1,34.17,83.63,71.47,171.43
38,2025-10-23 01:13:32,540,4230.89,65.36,3,82.46,14,5.34,6.38,2.78,46.97,0,44.69,58.05,120.88,203.38
39,2025-10-23 01:13:32,1171,7012.59,82.24,2,84.87,3,3.07,7.9,2.98,47.81,1,31.51,83.2,84.5,135.71
40,2025-10-23 01:13:32,2696,3846.22,90.47,0,76.15,10,4.59,7.68,2.31,57.66,0,64.29,83.17,69.3,210.87
41,2025-10-23 01:13:32,3238,6671.38,96.84,4,81.53,6,6.22,8.66,3.2,39.6,0,75.34,84.54,108.4,288.32
42,2025-10-23 01:13:32,2671,2740.59,75.41,8,82.95,3,5.31,10.9,3.77,69.45,0,75.05,87.18,19.76,229.31
43,2025-10-23 01:13:32,2384,6059.61,90.79,8,82.38,8,3.83,9.76,1.38,31.79,0,68.36,97.02,47.47,273.04
44,2025-10-23 01:13:32,2198,7883.14,79.61,4,85.76,8,5.45,5.85,3.3,44.02,0,47.04,71.44,94.68,173.88
45,2025-10-23 01:13:32,1021,100.0,78.27,3,80.89,22,6.43,10.75,3.93,53.7,0,44.52,76.1,102.47,289.9
46,2025-10-23 01:13:32,1780,3406.21,88.84,5,90.61,12,0.9,8.63,2.58,55.84,1,24.93,70.84,88.92,222.24
47,2025-10-23 01:13:32,2039,6154.14,86.52,3,85.0,3,7.32,9.37,3.7,49.0,0,80.54,75.02,52.62,250.61
48,2025-10-23 01:13:32,3557,4593.91,64.24,5,84.95,7,4.33,10.93,5.81,49.43,0,57.03,90.33,75.46,245.36
49,2025-10-23 01:13:32,2843,5742.29,94.77,6,83.36,15,5.85,5.78,2.9,54.11,1,42.62,61.55,111.74,186.42
50,2025-10-23 01:13:32,736,3792.03,93.8,7,85.78,20,7.39,7.93,3.39,47.69,0,69.92,66.39,117.45,192.35
51,2025-10-23 01:13:32,2824,5173.18,73.74,4,89.13,2,2.26,6.94,2.26,63.93,0,35.41,88.77,99.51,298.39
52,2025-10-23 01:13:32,2114,4688.65,83.96,4,80.66,0,3.58,4.86,3.18,58.39,0,56.1,85.2,134.71,269.95
53,2025-10-23 01:13:32,1823,7335.56,84.94,3,81.71,19,4.42,8.69,3.46,58.73,0,47.41,71.37,111.92,302.5
54,2025-10-23 01:13:32,3111,5508.84,82.61,3,83.48,11,3.43,13.02,3.19,40.34,0,59.58,83.54,77.58,266.23
55,2025-10-23 01:13:32,3530,5675.21,74.5,4,78.27,5,8.47,4.32,1.98,49.21,0,49.05,78.41,91.58,257.15
56,2025-10-23 01:13:32,3431,4176.25,73.28,5,80.9,12,3.29,7.94,3.21,47.0,0,28.24,90.0,57.91,163.7
57,2025-10-23 01:13:32,1660,4024.79,79.74,6,82.62,0,3.89,9.28,4.46,39.94,0,51.13,75.75,96.76,236.48
58,2025-10-23 01:13:32,2190,4134.88,91.73,3,89.37,10,5.41,8.25,3.45,53.6,0,65.73,85.26,133.36,248.63
59,2025-10-23 01:13:32,2831,5788.9,85.44,7,86.31,11,2.6,7.77,3.96,44.62,0,49.56,100.0,120.56,347.66
60,2025-10-23 01:13:32,3475,4158.03,76.29,4,85.97,14,4.21,5.4,2.76,56.55,0,61.63,80.98,142.06,284.35
61,2025-10-23 01:13:32,2020,5579.55,87.72,4,89.25,4,5.63,8.47,3.75,39.3,0,34.32,75.49,90.91,326.8
62,2025-10-23 01:13:32,2314,9150.8,51.51,3,84.31,10,4.33,6.49,3.28,67.19,1,49.61,82.22,140.38,279.88
63,2025-10-23 01:13:32,1393,6742.25,91.49,0,86.95,5,4.81,3.62,2.05,41.04,0,40.63,71.35,94.2,214.43
64,2025-10-23 01:13:32,1303,4347.95,62.6,6,84.48,11,3.94,10.39,3.32,52.19,0,61.2,98.88,144.15,255.86
65,2025-10-23 01:13:32,3312,7402.43,76.38,6,86.33,5,1.97,9.92,2.01,57.92,0,50.47,76.8,99.34,261.81
66,2025-10-23 01:13:32,3856,4183.85,68.8,4,82.09,7,5.64,8.1,2.37,44.29,0,60.35,72.27,121.22,203.04
67,2025-10-23 01:13:32,2427,923.75,67.05,5,72.81,5,8.51,8.46,3.19,58.52,0,66.32,66.64,144.25,230.78
68,2025-10-23 01:13:32,3503,2983.83,91.61,6,84.33,13,5.04,10.15,3.3,37.71,1,60.37,85.97,94.2,239.71
69,2025-10-23 01:13:32,2861,1258.42,75.32,1,92.11,14,5.45,8.45,1.81,64.52,0,54.1,83.67,106.55,330.28
70,2025-10-23 01:13:32,1854,4296.97,83.47,3,89.63,8,6.39,9.81,4.05,50.14,0,35.03,70.03,138.67,145.96
71,2025-10-23 01:13:32,2861,5036.84,79.53,6,89.83,10,2.46,7.41,3.57,44.04,0,49.96,80.76,96.01,310.29
72,2025-10-23 01:13:32,4038,8352.87,84.77,2,91.18,2,8.41,10.62,2.3,47.01,0,42.0,59.91,60.37,203.16
73,2025-10-23 01:13:32,2464,5653.85,80.77,5,85.44,8,5.4,8.64,1.46,58.09,0,44.84,76.85,164.29,181.4
74,2025-10-23 01:13:32,4064,4561.8,67.17,2,85.99,9,8.26,8.39,2.86,44.16,0,44.38,79.53,85.91,309.0
75,2025-10-23 01:13:32,1,6658.81,89.96,5,81.91,23,3.53,5.46,2.55,42.51,0,35.3,92.07,104.76,286.59
76,2025-10-23 01:13:32,3321,577.73,75.06,4,83.42,4,8.64,8.57,3.11,47.78,0,20.64,67.29,134.68,312.73
77,2025-10-23 01:13:32,2587,5471.23,64.43,1,88.08,17,6.55,6.34,2.64,38.23,0,39.98,62.22,81.75,290.04
78,2025-10-23 01:13:32,2200,6541.73,75.72,7,91.02,14,6.11,6.72,0.99,68.21,1,52.9,66.05,69.76,352.99
79,2025-10-23 01:13:32,2591,2042.83,95.01,3,84.3,11,5.47,6.37,2.61,44.34,0,29.78,61.63,107.61,277.94
80,2025-10-23 01:13:32,512,7287.51,88.5,3,82.75,18,4.5,5.87,2.69,58.32,1,50.24,88.37,46.21,242.18
81,2025-10-23 01:13:32,2280,5676.99,76.51,5,85.0,11,7.4,12.25,3.63,52.09,0,78.5,90.49,91.36,267.15
82,2025-10-23 01:13:32,2857,4169.42,76.51,7,88.01,11,5.28,10.66,2.3,40.15,0,65.35,78.2,107.35,312.17
83,2025-10-23 01:13:32,3977,6265.56,76.78,2,77.78,9,1.07,11.84,4.68,49.94,0,74.65,87.21,91.9,211.03
84,2025-10-23 01:13:32,1981,9541.39,100.0,5,73.52,16,2.77,5.55,1.09,57.84,0,55.87,76.34,53.7,217.41
85,2025-10-23 01:13:32,1691,5363.73,83.82,5,82.25,15,4.63,8.14,4.31,48.12,0,67.51,74.05,147.83,234.55
86,2025-10-23 01:13:32,1998,5496.44,84.3,6,78.9,6,5.62,5.41,2.78,61.93,1,39.14,71.67,103.11,144.77
87,2025-10-23 01:13:32,3415,4081.28,90.3,5,82.46,3,4.89,6.61,3.86,60.22,0,40.33,71.9,142.93,256.9
88,2025-10-23 01:13:32,2828,3300.31,82.39,4,84.26,8,7.44,6.16,3.08,59.19,0,8.91,59.52,92.2,155.69
89,2025-10-23 01:13:32,1970,6660.67,77.41,3,82.73,5,1.1,10.48,4.14,45.4,0,67.79,77.64,73.6,252.65
90,2025-10-23 01:13:32,3013,3287.83,78.04,5,92.26,9,5.29,7.21,2.61,39.2,0,73.1,74.6,108.08,293.26
91,2025-10-23 01:13:32,2597,5143.13,79.28,2,86.63,16,1.36,10.14,1.9,43.86,0,41.7,82.45,93.53,226.16
92,2025-10-23 01:13:32,3468,4044.69,79.63,0,86.5,7,6.52,9.21,4.42,51.96,0,46.19,75.94,64.67,333.86
93,2025-10-23 01:13:32,1797,5957.96,87.28,5,88.11,9,4.81,12.61,2.89,55.46,0,38.69,73.37,144.09,176.97
94,2025-10-23 01:13:32,2172,5667.32,80.52,6,79.31,10,5.84,5.04,3.22,28.28,1,55.74,66.29,81.33,309.56
95,2025-10-23 01:13:32,2107,7075.08,87.33,0,90.2,14,3.27,10.52,4.23,49.92,0,66.87,75.72,44.79,283.76
96,2025-10-23 01:13:32,1036,3979.97,79.19,2,84.62,0,7.56,10.29,1.97,51.58,0,23.86,82.38,139.84,164.2
97,2025-10-23 01:13:32,2796,4460.25,80.79,6,88.35,6,7.08,6.05,3.6,47.22,0,56.14,63.57,84.87,385.54
98,2025-10-23 01:13:32,2761,3042.47,60.02,9,79.64,11,6.17,10.01,2.41,62.91,0,45.85,75.87,81.77,246.81
99,2025-10-23 01:13:32,2505,4111.41,89.16,5,77.23,16,4.74,8.67,2.87,54.22,0,51.7,77.33,47.04,206.13
100,2025-10-23 01:13:32,2265,5754.6,83.46,3,89.09,7,6.16,7.55,3.07,63.1,0,56.88,67.82,152.23,179.65
101,2025-10-23 01:13:32,1084,6513.98,89.98,4,86.88,0,3.59,6.35,1.5,47.84,1,47.18,69.12,61.32,239.0
102,2025-10-23 01:13:32,2079,3155.67,51.04,7,80.49,13,6.71,6.56,2.22,59.37,0,48.45,77.31,101.75,243.63
103,2025-10-23 01:13:32,2157,6739.21,100.0,3,80.65,6,8.3,12.1,4.35,66.35,0,46.79,63.67,127.38,255.13
104,2025-10-23 01:13:32,1697,7711.28,78.6,3,90.63,4,7.14,8.0,3.89,63.12,0,64.55,78.5,112.65,235.11
105,2025-10-23 01:13:32,2338,5826.87,91.08,4,79.05,6,3.54,9.56,2.94,39.08,0,56.28,66.05,98.21,281.66
106,2025-10-23 01:13:32,2904,8753.59,69.6,3,93.21,9,5.72,6.42,3.24,47.46,0,53.31,85.63,48.95,230.62
107,2025-10-23 01:13:32,4386,3452.42,86.13,5,80.5,6,2.41,6.44,2.71,46.55,0,30.94,98.38,75.71,153.25
108,2025-10-23 01:13:32,2674,2510.69,69.47,8,88.19,0,6.14,10.16,4.36,54.89,0,44.32,66.39,105.63,242.53
109,2025-10-23 01:13:32,2757,1442.56,73.76,5,83.36,14,5.9,5.3,2.8,56.86,0,63.48,80.34,76.38,131.63
110,2025-10-23 01:13:32,2425,7992.09,99.14,4,88.02,16,1.26,7.17,3.23,41.61,0,50.57,67.73,106.1,267.69
111,2025-10-23 01:13:32,581,6308.73,78.09,4,82.28,13,2.68,8.07,4.15,50.68,0,59.89,85.41,120.45,201.03
112,2025-10-23 01:13:32,2473,4888.83,82.17,1,84.19,4,4.43,8.22,2.22,29.8,1,76.5,62.35,128.88,258.17
113,2025-10-23 01:13:32,2560,5559.94,88.7,6,85.2,8,4.4,7.64,4.56,64.42,0,65.58,79.81,63.21,315.7
114,2025-10-23 01:13:32,4963,2749.02,84.96,4,79.99,9,2.58,8.79,1.47,44.88,0,51.4,66.27,165.9,202.56
115,2025-10-23 01:13:32,2307,9891.5,81.5,4,88.7,12,5.78,9.39,4.63,50.56,0,42.34,72.93,123.02,303.06
116,2025-10-23 01:13:32,2801,5258.44,83.65,11,82.43,13,5.5,9.47,2.63,46.9,0,11.7,64.69,99.95,228.33
117,2025-10-23 01:13:32,2465,5218.79,100.0,5,83.86,6,4.61,6.03,2.76,61.46,1,47.47,83.22,132.69,337.66
118,2025-10-23 01:13:32,1331,6451.53,79.42,3,80.03,10,3.49,7.43,1.11,21.62,0,45.11,66.63,170.96,231.74
119,2025-10-23 01:13:32,3642,5962.02,82.01,4,72.19,12,7.1,10.39,2.55,49.83,0,55.86,80.52,56.84,207.98
120,2025-10-23 01:13:32,3251,5447.77,90.51,7,84.04,17,8.31,9.79,1.96,48.94,0,47.69,71.56,93.24,284.36
121,2025-10-23 01:13:32,3291,3419.05,91.06,5,97.06,13,4.03,5.25,2.39,45.46,0,45.19,73.86,28.65,228.21
122,2025-10-23 01:13:32,1590,5942.94,91.87,2,88.92,13,3.78,8.7,2.86,67.26,0,23.31,76.48,105.78,207.93
123,2025-10-23 01:13:32,3902,8764.05,86.39,6,84.9,10,5.98,4.04,3.96,41.13,0,35.9,67.38,110.96,226.11
124,2025-10-23 01:13:32,1098,7690.84,68.57,3,83.69,17,4.28,8.09,3.21,57.72,0,57.15,77.1,98.83,247.77
125,2025-10-23 01:13:32,3086,8186.37,96.33,8,85.11,12,4.72,11.8,3.31,53.56,0,75.74,90.3,80.36,317.11
126,2025-10-23 01:13:32,4690,3977.57,68.54,7,87.74,5,6.48,6.1,1.9,62.62,0,48.54,67.22,38.51,153.3
127,2025-10-23 01:13:32,1509,3020.79,83.03,4,79.1,17,1.18,6.33,2.12,43.33,0,54.92,86.72,111.21,251.15
128,2025-10-23 01:13:32,1933,4748.43,72.46,7,90.57,13,7.64,9.53,4.8,42.67,0,64.29,89.98,143.66,281.25
129,2025-10-23 01:13:32,2599,5111.45,79.36,5,88.58,7,5.15,4.91,2.26,60.96,0,37.84,66.84,82.27,259.67
130,2025-10-23 01:13:32,1996,7188.38,83.29,6,88.59,7,4.18,6.73,4.66,54.25,0,55.5,60.45,113.2,315.49
131,2025-10-23 01:13:32,949,1615.07,83.21,5,87.19,11,4.82,9.19,2.76,34.55,0,38.89,78.02,52.96,246.28
132,2025-10-23 01:13:32,2568,8059.1,84.22,3,85.1,12,4.92,6.73,3.0,44.61,0,62.97,69.53,113.72,240.77
133,2025-10-23 01:13:32,1437,4683.98,96.14,3,88.36,10,1.54,7.53,4.07,53.86,0,52.27,93.69,88.2,279.62
134,2025-10-23 01:13:32,2973,4146.24,84.54,7,87.96,11,7.99,9.49,4.27,58.38,0,54.48,75.35,77.13,254.97
135,2025-10-23 01:13:32,1580,2975.79,77.56,4,83.23,18,5.08,8.84,2.89,43.21,0,38.26,66.98,77.19,230.48
136,2025-10-23 01:13:32,4049,1690.29,89.64,4,82.13,15,5.89,8.53,2.61,20.86,0,60.61,63.53,88.19,275.81
137,2025-10-23 01:13:32,1716,6646.34,91.89,3,85.51,10,6.9,7.32,2.94,55.23,0,81.27,85.9,111.47,217.37
138,2025-10-23 01:13:32,2177,5146.64,67.72,5,92.75,14,2.96,8.74,3.34,37.8,0,34.88,69.29,60.64,219.44
139,2025-10-23 01:13:32,3313,2420.08,85.97,9,78.8,4,5.95,7.75,3.89,29.83,0,44.9,75.44,88.09,223.6
140,2025-10-23 01:13:32,1269,2409.84,87.01,2,77.66,11,4.46,8.92,3.0,21.68,0,53.47,84.56,98.76,317.65
141,2025-10-23 01:13:32,2727,4328.43,77.02,5,85.82,19,6.69,7.01,3.62,58.14,0,61.8,70.16,67.03,88.95
142,2025-10-23 01:13:32,3807,8338.04,93.76,7,85.25,8,0.75,7.63,4.64,51.29,0,41.61,74.54,153.9,269.78
143,2025-10-23 01:13:32,892,4480.82,78.5,4,85.87,5,4.8,6.02,3.38,47.74,1,7.5,74.83,74.4,251.71
144,2025-10-23 01:13:32,2684,1993.71,81.26,5,86.22,6,3.79,7.93,3.31,63.89,0,70.39,81.83,79.92,165.96
145,2025-10-23 01:13:32,2759,4508.51,78.27,2,83.88,4,5.86,6.38,1.48,56.37,0,61.41,80.91,70.65,265.49
146,2025-10-23 01:13:32,3281,4454.55,80.16,5,92.45,6,5.94,5.77,0.37,66.16,0,23.86,72.8,153.95,273.79
147,2025-10-23 01:13:32,1263,100.0,69.04,4,77.0,8,3.58,8.52,3.39,36.07,0,40.89,75.64,116.59,279.48
148,2025-10-23 01:13:32,1179,4891.41,65.6,6,80.86,2,3.58,8.43,2.91,49.65,0,73.52,71.28,71.9,117.41
149,2025-10-23 01:13:32,3021,4538.13,95.95,7,84.48,10,4.78,9.57,2.49,33.83,0,71.72,60.22,133.19,318.32
150,2025-10-23 01:13:32,2796,6392.41,71.53,10,76.78,14,3.21,7.14,3.24,47.71,0,64.08,77.58,106.02,213.11
151,2025-10-23 01:13:32,2750,8697.91,70.09,6,84.12,5,6.68,8.82,2.94,47.51,1,47.36,93.92,107.72,284.33
152,2025-10-23 01:13:32,2846,7253.13,58.47,5,93.31,17,4.26,9.1,4.13,56.27,0,51.24,66.16,89.67,287.05
153,2025-10-23 01:13:32,1819,4462.22,73.61,5,85.1,12,0.0,8.89,3.09,50.46,0,48.04,67.27,77.52,206.17
154,2025-10-23 01:13:32,2732,2786.95,66.77,4,86.15,15,4.25,6.35,2.25,56.23,0,66.92,66.29,110.13,283.02
155,2025-10-23 01:13:32,2793,10000.0,96.42,5,78.7,6,2.92,8.3,3.99,57.03,0,36.86,82.25,83.65,230.73
156,2025-10-23 01:13:32,1785,5118.44,90.1,4,81.92,14,1.74,8.73,2.78,71.55,0,37.91,79.48,154.5,146.43
157,2025-10-23 01:13:32,4365,5027.86,73.12,5,83.12,4,2.53,8.01,3.53,46.85,0,65.15,73.41,61.92,308.39
158,2025-10-23 01:13:32,2973,4951.75,100.0,7,83.41,14,5.22,3.83,2.52,40.59,1,49.33,65.82,146.08,211.25
159,2025-10-23 01:13:32,1308,5396.17,89.82,2,91.41,10,7.66,8.32,2.35,52.46,0,70.68,75.92,96.66,207.28
160,2025-10-23 01:13:32,3156,4711.28,76.75,7,87.79,12,5.63,12.43,3.08,41.98,0,39.93,59.35,108.97,229.85
161,2025-10-23 01:13:32,1525,3852.68,55.01,7,79.44,4,3.79,7.28,3.01,64.82,0,49.18,76.43,124.99,263.61
162,2025-10-23 01:13:32,3287,3906.28,100.0,4,86.23,5,5.91,6.54,3.48,47.17,0,36.16,83.72,81.09,247.14
163,2025-10-23 01:13:32,3658,4934.49,66.1,0,87.49,12,4.08,8.75,2.73,44.34,0,50.11,62.49,125.93,277.4
164,2025-10-23 01:13:32,1679,3913.15,63.55,3,90.7,5,3.61,8.62,1.16,45.29,0,27.82,59.67,18.77,183.03
165,2025-10-23 01:13:32,3463,3574.31,90.23,7,92.9,12,2.69,10.39,2.57,57.18,0,42.69,90.79,78.4,212.88
166,2025-10-23 01:13:32,2912,5212.86,100.0,4,79.92,3,1.5,5.48,3.79,48.42,0,28.46,68.88,72.28,244.2
167,2025-10-23 01:13:32,3322,4490.05,93.84,3,80.95,14,4.22,9.46,2.7,43.58,0,60.41,86.36,62.39,344.89
168,2025-10-23 01:13:32,4396,8007.99,85.64,3,78.71,3,5.32,9.18,2.75,66.65,0,60.75,73.46,93.55,244.31
169,2025-10-23 01:13:32,2254,100.0,85.95,6,83.83,12,4.81,7.72,3.99,41.44,0,24.05,73.38,111.57,304.26
170,2025-10-23 01:13:32,1746,7183.01,88.53,6,87.33,13,4.17,8.68,2.29,50.36,0,70.01,79.38,121.08,251.93
171,2025-10-23 01:13:32,1610,7492.17,87.59,4,89.94,6,3.11,10.06,1.46,56.52,0,87.46,66.16,107.23,225.82
172,2025-10-23 01:13:32,1684,853.22,82.81,4,84.62,12,6.22,9.74,2.84,33.69,0,50.69,76.32,80.03,237.66
173,2025-10-23 01:13:32,2422,4314.62,81.04,4,83.4,11,2.37,5.71,2.52,54.8,0,40.38,71.19,111.07,241.58
174,2025-10-23 01:13:32,2841,4257.12,79.37,3,85.76,7,6.55,9.64,2.03,39.45,0,92.36,61.8,103.73,280.18
175,2025-10-23 01:13:32,2776,2184.98,72.46,8,80.82,4,3.0,7.87,2.82,58.23,0,30.22,78.37,128.08,318.73
176,2025-10-23 01:13:32,3327,3444.37,77.19,4,95.45,0,3.5,8.15,3.49,40.37,1,50.3,72.37,123.31,267.98
177,2025-10-23 01:13:32,2513,2778.85,63.07,7,76.96,11,2.07,8.15,2.99,56.93,0,52.69,73.43,100.91,309.35
178,2025-10-23 01:13:32,3953,8504.54,79.02,8,85.92,2,4.0,7.7,3.31,61.06,0,70.18,62.9,73.08,201.76
179,2025-10-23 01:13:32,2235,6871.36,70.11,6,95.12,10,6.95,10.38,4.81,58.61,0,55.4,90.91,80.41,229.27
180,2025-10-23 01:13:32,5000,7543.11,68.96,4,85.03,8,6.03,7.83,2.66,52.51,0,42.52,83.77,83.51,213.78
181,2025-10-23 01:13:32,3125,6443.34,81.8,5,84.05,13,6.96,5.76,3.28,47.69,0,35.73,84.64,90.54,265.72
182,2025-10-23 01:13:32,1642,2741.9,93.92,4,83.21,8,6.04,7.21,2.49,44.24,0,44.87,71.95,108.04,232.05
183,2025-10-23 01:13:32,1429,3950.96,89.18,3,84.1,8,2.79,8.36,2.15,64.71,0,34.9,57.71,121.46,286.49
184,2025-10-23 01:13:32,2982,5978.75,64.29,5,91.86,13,4.34,10.46,2.42,43.01,0,50.72,94.53,98.47,203.45
185,2025-10-23 01:13:32,2276,2555.74,70.1,2,73.94,11,3.44,9.21,2.52,39.63,1,41.54,74.39,100.48,252.15
186,2025-10-23 01:13:32,3214,6426.0,89.41,7,92.67,11,7.66,6.3,3.36,56.65,0,27.59,67.51,104.3,284.34
187,2025-10-23 01:13:32,2973,4519.35,70.18,4,77.88,12,2.61,12.97,5.35,42.04,0,68.83,79.17,84.52,146.73
188,2025-10-23 01:13:32,2427,4250.36,77.75,5,83.67,2,6.79,8.53,2.28,40.5,0,42.53,86.67,72.24,356.08
189,2025-10-23 01:13:32,1653,6421.92,85.5,5,82.85,13,6.79,10.55,2.58,35.56,0,30.98,74.77,47.34,235.84
190,2025-10-23 01:13:32,985,5888.53,70.32,4,87.94,13,8.66,7.7,2.94,45.17,1,47.48,87.79,79.15,148.75
191,2025-10-23 01:13:32,2053,4278.07,81.05,6,77.01,4,4.18,9.07,3.4,49.17,0,51.03,85.83,114.19,257.9
192,2025-10-23 01:13:32,3356,7318.66,66.66,4,87.31,8,6.42,9.68,3.26,52.43,0,23.8,64.24,78.91,251.67
193,2025-10-23 01:13:32,2714,2837.87,73.99,6,95.12,9,9.56,10.44,4.28,59.51,0,54.97,68.26,92.87,245.91
194,2025-10-23 01:13:32,1254,6231.87,83.2,2,78.18,9,3.76,10.11,0.57,55.27,0,34.29,84.58,113.99,299.56
195,2025-10-23 01:13:32,2673,6186.2,64.07,5,85.95,11,1.93,9.74,0.61,48.09,0,75.67,50.0,115.62,287.37
196,2025-10-23 01:13:32,2885,4380.91,84.4,8,81.69,17,1.24,7.37,2.5,48.02,0,57.86,73.51,67.61,264.89
197,2025-10-23 01:13:32,1616,5652.27,79.8,2,87.13,15,6.43,6.86,4.1,55.1,1,44.0,60.69,129.91,272.51
198,2025-10-23 01:13:32,2653,2497.77,85.52,3,85.1,3,1.23,8.67,1.43,62.73,0,38.82,70.23,133.82,244.78
199,2025-10-23 01:13:32,2558,6848.05,82.24,6,81.79,13,4.26,9.87,0.0,51.26,0,48.43,72.01,66.1,338.77
200,2025-10-23 01:13:32,1357,4630.2,93.64,5,87.44,16,5.87,7.55,3.57,45.31,0,59.19,71.42,75.28,176.04
